date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Transaction_Value
1972-08-25,0.011403645152046619,0.011622997372307688,0.011403645152046619,0.01157880388200283,7526400,0.0,0.0,86653.86114765012
1972-08-28,0.011578794201100239,0.01166664303246369,0.011535138823091984,0.011535138823091984,2918400,0.0,0.0,33856.04008362684
1972-08-29,0.011491487725938975,0.011491487725938975,0.011403638869524004,0.011403638869524002,5836800,0.0,0.0,66817.13745619915
1972-08-30,0.011403638869524004,0.011403638869524004,0.011315790013109032,0.011403638869524002,1228800,0.0,0.0,13958.817105489738
1972-08-31,0.0113157928126491,0.0113157928126491,0.011227943934500217,0.011227943934500217,2611200,0.0,0.0,29433.102697078146
1972-09-01,0.01127212812049487,0.011315783485770226,0.01127212812049487,0.011315783485770226,768000,0.0,0.0,8673.758056805797
1972-09-05,0.0113157928126491,0.0113157928126491,0.011227943934500217,0.011227943934500217,1689600,0.0,0.0,19044.94880399174
1972-09-06,0.011315783485770226,0.011315783485770226,0.011315783485770226,0.011315783485770226,768000,0.0,0.0,8690.521717071533
1972-09-07,0.011315790583322856,0.011315790583322856,0.011272135190665724,0.011272135190665722,3532800,0.0,0.0,39899.31208717343
1972-09-08,0.01122793517410833,0.01122793517410833,0.011184279806911944,0.011184279806911945,1996800,0.0,0.0,22376.35543705064
1972-09-11,0.011272135190665724,0.011272135190665724,0.011272135190665724,0.011272135190665722,2764800,0.0,0.0,31165.19937515259
1972-09-12,0.011272135190665724,0.011272135190665724,0.011272135190665724,0.011272135190665722,1843200,0.0,0.0,20776.799583435062
1972-09-13,0.011272135190665724,0.011272135190665724,0.011272135190665724,0.011272135190665722,460800,0.0,0.0,5194.199895858766
1972-09-14,0.011272137811615577,0.011359447613358498,0.011227944333155267,0.011359447613358498,3840000,0.0,0.0,43367.79253730643
1972-09-15,0.011315790583322856,0.011315790583322856,0.011272135190665724,0.011272135190665722,1536000,0.0,0.0,17347.526994423228
1972-09-18,0.011315783485770226,0.01135943784717396,0.011315783485770226,0.011315783485770226,3225600,0.0,0.0,36570.59696577238
1972-09-19,0.01127213741139141,0.01127213741139141,0.011184288533242525,0.011227943934500217,9369600,0.0,0.0,105203.86426542106
1972-09-20,0.011140630580484867,0.011140630580484867,0.011140630580484867,0.011140630580484867,153600,0.0,0.0,1711.2008571624756
1972-09-21,0.011052789463882242,0.011052789463882242,0.01078978180885315,0.01078978180885315,4300800,0.0,0.0,46970.265264890186
1972-09-22,0.010745578502266232,0.010745578502266232,0.01039472222328186,0.01039472222328186,2611200,0.0,0.0,27600.77662727559
1972-09-25,0.010351067320773196,0.010351067320773196,0.010087520815432072,0.010087520815432072,2918400,0.0,0.0,29823.98780835073
1972-09-26,0.010087524189511041,0.010087524189511041,0.010000214404435792,0.01004386879503727,2150400,0.0,0.0,21598.336536211635
1972-09-27,0.009956019501110054,0.009956019501110054,0.009824516251683235,0.009824516251683235,1996800,0.0,0.0,19748.886895588817
1972-09-28,0.010000211059560235,0.01017536965054578,0.010000211059560235,0.010087520815432072,4300800,0.0,0.0,43385.56875901197
1972-09-29,0.010175376763185796,0.010219570249319075,0.010175376763185796,0.010219570249319077,768000,0.0,0.0,7831.65965280187
1972-10-02,0.010306870218159542,0.010701920837163927,0.010306870218159542,0.010701920837163925,4915200,0.0,0.0,51631.20489756295
1972-10-03,0.010789780683492964,0.010877090506255627,0.010789780683492964,0.010877090506255627,1536000,0.0,0.0,16640.157073726918
1972-10-04,0.010921284319234987,0.011184291954632428,0.010921284319234987,0.011096443049609661,4608000,0.0,0.0,50931.24773499053
1972-10-05,0.011030692215091242,0.011030692215091242,0.01078978180885315,0.01078978180885315,4147200,0.0,0.0,45246.93493605109
